#Exchange,Seller Account ID,Type of Account (Direct or Reseller),TAG
ID (optional)
#GOOGLE ADX
subdomain=games.houmatoday.com
subdomain=games.hsvvoice.com
subdomain=games.hutchnews.com
subdomain=games.indeonline.com
subdomain=games.irondequoitpost.com
subdomain=games.jacksonnewspapers.com
subdomain=games.jdnews.com
subdomain=games.journaldemocrat.com
subdomain=games.journalstandard.com
subdomain=games.kinston.com
subdomain=games.kiowacountysignal.com
subdomain=games.kirksvilledailyexpress.com
subdomain=games.lajuntatribunedemocrat.com
subdomain=games.lakenewsonline.com
subdomain=games.leavenworthtimes.com
subdomain=games.leesvilledailyleader.com
subdomain=games.lenconnect.com

subdomain=games.lincolncourier.com
subdomain=games.linncountyleader.com
subdomain=games.lonokenews.net
subdomain=games.masspoliticalnews.com
subdomain=games.mcdonoughvoice.com
subdomain=games.mcphersonsentinel.com
subdomain=games.metrowestdailynews.com
subdomain=games.mexicoledger.com
subdomain=games.miamiok.com
subdomain=games.middletowntranscript.com
subdomain=games.milfordbeacon.com
subdomain=games.milforddailynews.com
subdomain=games.moberlymonitor.com
subdomain=games.monroecopost.com
subdomain=games.monroenews.com
subdomain=games.montenews.com
subdomain=games.morningsun.net
subdomain=games.mortontimesnews.com
subdomain=games.moscowvillager.com
subdomain=games.mpnnow.com
subdomain=games.mtshastanews.com
subdomain=games.ncnewspress.com
